Year,Month,SST,SSC,SLP,AT,Catch,Label
2007,1,28.71387755,0.1532,1010.4235,30.21268154,43934.098,NPFZ
2007,2,28.72245,0.16,1010.495918,27.77978723,5138.233,NPFZ
2007,3,29.21485,0.13,1007.2345,27.61217391,14151.874,NPFZ
2007,4,29.33795085,0.028819941,1004.093299,27.54581395,63763.75896,NPFZ
2007,5,29.51572138,0.08781064,1001.634852,27.91478811,83218.67463,NPFZ
2007,6,29.38699775,0.055391369,1002.053393,28.596875,67659.82202,NPFZ
2007,7,29.09158853,0.030018601,1004.28174,29.41435887,31520.50914,NPFZ
2007,8,28.76930233,0.13,1007.252708,29.96754642,10765.956,NPFZ
2007,9,28.55994773,0.206133557,1009.899115,29.80125,44766.26538,PFZ
2007,10,28.60333333,0.22,1011.153778,28.7067331,56047.111,PFZ
2007,11,28.94651427,0.163523251,1010.589846,27.46106383,41330.24785,NPFZ
2007,12,29.26553191,0.15,1010.3418,26.87591587,41957.683,NPFZ
2008,1,29.27325581,0.24,1011.518478,26.91558052,75546.436,PFZ
2008,2,29.15431688,0.239230421,1010.278647,27.33250347,56634.35412,PFZ
2008,3,29.03666667,0.18,1007.970417,27.87913043,10643.353,NPFZ
2008,4,28.98543563,0.151176448,1007.038541,28.35023935,12432.57338,NPFZ
2008,5,29.0007308,0.158191692,1007.459015,28.70993722,10075.23652,NPFZ
2008,6,29.0664034,0.185618712,1008.590647,28.96466331,8364.600739,NPFZ
2008,7,29.16630464,0.218030488,1009.792242,29.12085687,33536.17553,PFZ
2008,8,29.28428571,0.24,1010.422609,29.18495715,56088.725,PFZ
2008,9,29.39461888,0.24039843,1010.074275,29.16340342,68530.81516,PFZ
2008,10,29.43326067,0.225289775,1009.274653,29.06263492,70808.32748,PFZ
2008,11,29.32658865,0.205036232,1008.784876,28.88909091,64726.47231,PFZ
2008,12,29.00098039,0.19,1009.366078,28.65529211,52090.46,NPFZ
2009,1,28.46488372,0.18,1010.950217,28.39808511,39862.426,NPFZ
2009,2,28.02179666,0.147700474,1011.071535,28.15517249,47104.59775,NPFZ
2009,3,27.92436408,0.115296103,1010.11102,27.94335505,63925.69398,NPFZ
2009,4,28.392,0.12,1009.368636,27.77420813,71906.825,NPFZ
2009,5,29.40168327,0.179077146,1009.671074,27.65930709,59119.62477,NPFZ
2009,6,29.96065217,0.23,1009.951915,27.61022727,39597.822,PFZ
2009,7,29.23800239,0.214357872,1009.16671,27.63227242,29724.60014,PFZ
2009,8,28.02,0.17,1008.252,27.70565986,29318.867,NPFZ
2009,9,27.27391169,0.147044222,1008.327553,27.80433534,34375.98665,NPFZ
2009,10,27.07383627,0.148422849,1009.265064,27.90224459,42161.42391,NPFZ
2009,11,27.27058055,0.165271812,1010.624209,27.97333333,50258.16877,NPFZ
2009,12,27.71495138,0.188727038,1011.964663,27.99983081,56249.21124,NPFZ
2010,1,28.25775559,0.209924457,1012.846101,27.99710033,57717.54131,PFZ
2010,2,28.7498,0.22,1012.8282,27.98878869,52246.149,PFZ
2010,3,29.04513342,0.214923449,1011.734769,27.9985427,40707.61452,PFZ
2010,4,29.01077254,0.21,1010.44615,28.05000916,37132.879,PFZ
2010,5,28.61818533,0.219163565,1009.858108,28.16683488,52855.66247,PFZ
2010,6,28.24367696,0.231527495,1009.871549,28.37266667,75262.43966,PFZ
2010,7,28.3647619,0.23,1010.138667,28.338,85752.874,PFZ
2010,8,29.20080485,0.202876344,1010.266018,27.25212766,71645.47017,PFZ
2010,9,29.93857143,0.16,1009.6776,26.97979586,43934.098,NPFZ
2010,10,29.78986704,0.117743713,1008.136555,27.52913043,18316.35198,NPFZ
2010,11,29.0992554,0.0970491,1006.945142,28.05319149,5629.360165,NPFZ
2010,12,28.4944898,0.12,1007.7904,27.72416667,15495.134,NPFZ
2011,1,28.3932717,0.189283539,1011.248773,27.69715955,47477.01225,NPFZ
2011,2,28.37309524,0.23,1013.454318,27.92066667,60903.643,PFZ
2011,3,27.93522727,0.19,1011.401875,27.96925996,32440.026,NPFZ
2011,4,27.39564232,0.163753226,1008.98644,27.77978723,23156.44347,NPFZ
2011,5,28.32177778,0.2,1008.132979,27.41512334,20818.942,NPFZ
2011,6,30.38585366,0.26,1009.744792,27.07997549,7268.411,PFZ
2011,7,28.50688889,0.19,1012.342449,27.01450891,20158.942,NPFZ
2011,8,28.4825,0.22,1010.574043,27.45888889,33268.405,PFZ
2011,9,29.32434783,0.22,1011.489375,28.53979592,22412,PFZ
2011,10,28.88666667,0.15,1008.375882,29.7726,16766.315,NPFZ
2011,11,28.21675044,0.124450563,1004.68671,30.21268154,6926.993315,NPFZ
2011,12,27.69744291,0.155225143,1002.003301,29.88997384,8490.487263,NPFZ
2012,1,27.33358046,0.219775939,1000.342554,29.1173913,25042.66955,NPFZ
2012,2,27.12999945,0.295555145,999.7213682,28.20168184,38286.09635,NPFZ
2012,3,27.09153627,0.360014957,1000.156642,27.42492741,43777.31048,NPFZ
2012,4,27.22302728,0.390607573,1001.665275,27.06304348,37072.85476,NPFZ
2012,5,27.52930886,0.364785189,1004.264166,27.30663923,13729.272,NPFZ
2012,6,28.01521739,0.26,1007.970213,28.00509879,30696.895,PFZ
2012,7,28.47446809,0.13,1010.849574,28.9225,69835.406,NPFZ
2012,8,28.37608696,0.19,1008.043191,29.80061586,25528.196,NPFZ
2012,9,28.65596403,0.235037112,1008.523525,30.292,22641.60705,PFZ
2012,10,29.165,0.23,1011.225814,30.14141866,49389.926,PFZ
2012,11,29.46023325,0.211689272,1012.313758,29.55170786,55047.19961,PFZ
2012,12,29.52803761,0.190985403,1011.779868,28.84022106,41245.53447,NPFZ
2013,1,29.46212079,0.172288833,1010.573856,28.32431173,22706.55209,NPFZ
2013,2,29.35619048,0.16,1009.645435,28.32133333,14151.874,NPFZ
2013,3,29.27269808,0.156988432,1009.655458,28.53348837,24822.11651,NPFZ
2013,4,29.14906977,0.16,1010.109333,27.48913043,42033.875,NPFZ
2013,5,28.92369691,0.165283955,1010.360392,27.34382203,51092.82187,NPFZ
2013,6,28.6638567,0.173226714,1010.309106,27.92124168,51184.95839,NPFZ
2013,7,28.46904782,0.185248989,1009.992729,28.14040816,44966.36806,NPFZ
2013,8,28.43876895,0.202771488,1009.448516,27.45905712,35093.13439,PFZ
